순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,박성한,SSG,0.494,21,99,79,17,39,9,1,1,53,20,0,1
2,류지혁,삼성,0.421,21,91,76,18,32,7,1,2,47,14,0,0
3,박준순,두산,0.397,20,82,78,8,31,4,2,3,48,14,0,0
4,천성호,LG,0.368,20,66,57,12,21,4,0,1,28,8,1,0
5,페라자,한화,0.366,21,100,82,21,30,8,0,2,44,13,0,2
5,레이예스,롯데,0.366,21,93,82,9,30,3,0,5,48,13,0,1
7,고명준,SSG,0.365,17,68,63,9,23,5,0,4,40,12,0,0
8,문현빈,한화,0.364,20,94,77,18,28,7,2,5,54,22,0,0
9,문성주,LG,0.356,21,86,73,6,26,5,0,0,31,10,2,2
10,박민우,NC,0.338,20,87,74,15,25,7,0,1,35,14,0,0
11,오스틴,LG,0.333,21,97,84,19,28,4,1,6,52,16,0,1
12,김선빈,KIA,0.329,21,88,70,11,23,4,0,1,30,13,0,1
13,이우성,NC,0.322,19,67,59,9,19,6,0,3,34,3,0,0
14,김호령,KIA,0.318,22,101,88,14,28,8,0,1,39,10,3,0
15,김현수,KT,0.316,22,103,95,14,30,8,0,3,47,20,0,0
16,최원준,KT,0.311,21,104,90,16,28,8,1,0,38,11,0,1
17,노진혁,롯데,0.300,21,81,70,5,21,8,0,3,38,11,0,1
17,데일,KIA,0.300,21,90,80,14,24,4,0,1,31,6,1,1
19,박찬호,두산,0.296,22,99,81,21,24,6,0,1,33,6,3,0
20,한태양,롯데,0.295,20,70,61,7,18,3,0,0,21,1,1,0
21,강백호,한화,0.292,21,97,89,13,26,5,0,4,43,24,0,1
22,디아즈,삼성,0.289,21,96,83,15,24,4,0,3,37,15,0,1
23,최형우,삼성,0.286,21,98,77,13,22,3,0,4,37,16,0,1
24,박건우,NC,0.278,21,82,72,9,20,5,0,4,37,12,0,0
25,문보경,LG,0.277,20,87,65,9,18,3,0,2,27,11,0,2
26,한동희,롯데,0.273,17,71,66,5,18,4,0,0,22,4,0,0
27,한준수,KIA,0.269,21,71,52,9,14,4,0,2,24,8,3,1
28,이주형,키움,0.268,20,90,82,12,22,8,1,2,38,12,0,0
29,최정,SSG,0.267,21,93,75,13,20,7,1,3,38,9,0,1
30,김상수,KT,0.266,20,79,64,6,17,3,0,0,20,6,2,1
31,카스트로,KIA,0.265,21,88,83,15,22,9,0,2,37,16,0,1
32,에레디아,SSG,0.264,21,93,91,10,24,3,0,5,42,17,0,1
33,박해민,LG,0.263,21,88,76,7,20,4,0,0,24,6,2,1
34,하주석,한화,0.262,19,66,61,3,16,1,0,0,17,6,1,0
35,오지환,LG,0.262,20,78,65,9,17,3,0,1,23,13,0,1
36,브룩스,키움,0.259,21,95,81,9,21,6,0,0,27,9,0,1
37,김형준,NC,0.259,20,69,58,4,15,2,0,1,20,10,0,0
38,심우준,한화,0.254,18,68,59,15,15,4,0,2,25,10,0,0
39,카메론,두산,0.253,22,90,87,10,22,8,1,5,47,8,0,0
40,채은성,한화,0.250,21,91,80,9,20,1,0,2,27,10,0,2
40,김지찬,삼성,0.250,21,95,76,17,19,3,1,0,24,6,0,1
40,최정원,NC,0.250,19,68,52,7,13,0,0,0,13,1,5,0
40,이강민,KT,0.250,22,77,72,7,18,1,0,0,19,11,1,1
40,나성범,KIA,0.250,20,86,72,11,18,2,0,3,29,15,0,1
40,김건희,키움,0.250,21,75,64,6,16,4,0,1,23,9,0,3
46,안치홍,키움,0.247,21,91,77,5,19,5,0,0,24,4,0,0
47,장성우,KT,0.247,22,90,73,16,18,5,0,6,41,19,0,1
48,김도영,KIA,0.241,22,98,83,17,20,4,0,6,42,19,0,1
49,박동원,LG,0.237,20,74,59,11,14,4,0,1,21,11,0,2
50,강민호,삼성,0.236,20,65,55,4,13,3,0,0,16,8,0,0
51,양석환,두산,0.234,19,73,64,5,15,3,0,1,21,4,0,2
52,힐리어드,KT,0.233,22,101,86,16,20,3,1,3,34,12,0,3
53,김주원,NC,0.229,21,97,83,9,19,3,0,2,28,3,0,0
54,양의지,두산,0.227,22,94,75,8,17,4,0,2,27,11,0,4
55,정수빈,두산,0.216,22,87,74,7,16,0,0,2,22,10,1,0
56,최주환,키움,0.212,20,71,66,3,14,2,0,1,19,9,0,1
57,데이비슨,NC,0.208,20,81,72,8,15,3,0,3,27,10,0,1
58,전준우,롯데,0.205,21,86,78,5,16,2,0,1,21,3,0,1
59,최지훈,SSG,0.197,21,87,76,15,15,4,0,4,31,14,1,1
60,신민재,LG,0.191,21,78,68,3,13,0,0,0,13,5,2,0
61,윤동희,롯데,0.190,17,67,63,3,12,3,0,3,24,7,0,0
62,노시환,한화,0.169,14,67,59,7,10,1,0,1,14,4,1,0
63,홍창기,LG,0.148,17,72,54,6,8,2,0,0,10,3,0,0
64,김재환,SSG,0.110,21,91,73,7,8,1,0,2,15,9,0,1
